title_vina,PharmFit_score,Params
HIT100271766.pdbqt,1.4269,100
HIT104631066.pdbqt,1.42416,100
HIT211684072.pdbqt,1.42026,100
HIT105817789.pdbqt,1.42021,100
HIT104740207.pdbqt,1.41996,7.01932
HIT101935575.pdbqt,1.41986,100
HIT102620142.pdbqt,1.41366,100
HIT101596217.pdbqt,1.41329,100
HIT105282363.pdbqt,1.41166,100
HIT106063524.pdbqt,1.41151,100
HIT211257419.pdbqt,1.40906,100
HIT107148031.pdbqt,1.40443,100
HIT101976889.pdbqt,1.40326,100
HIT106599986.pdbqt,1.40146,100
HIT107220531.pdbqt,1.39847,100
HIT104172399.pdbqt,1.39703,100
HIT106896627.pdbqt,1.39405,100
HIT101259769.pdbqt,1.39384,100
HIT101240776.pdbqt,1.39383,100
HIT100292297.pdbqt,1.3906,100
HIT106052704.pdbqt,1.39053,6.90901
HIT104511626.pdbqt,1.39034,100
HIT105751251.pdbqt,1.3878,100
HIT102512826.pdbqt,1.38678,100
HIT101083747.pdbqt,1.38457,100
HIT103962420.pdbqt,1.38344,100
HIT104390031.pdbqt,1.38145,100
HIT105444969.pdbqt,1.37989,6.86095
HIT106748210.pdbqt,1.37802,100
HIT105394115.pdbqt,1.37796,100
HIT211355967.pdbqt,1.37709,100
HIT104981424.pdbqt,1.37617,100
HIT103155616.pdbqt,1.3757,100
HIT102527172.pdbqt,1.37252,100
HIT101416095.pdbqt,1.37132,100
HIT100432059.pdbqt,1.36999,100
HIT106819093.pdbqt,1.36964,100
HIT211493925.pdbqt,1.36931,100
HIT107107210.pdbqt,1.36721,100
HIT107028401.pdbqt,1.36719,6.15532
HIT106823612.pdbqt,1.36598,100
HIT101915308.pdbqt,1.36446,100
HIT104042221.pdbqt,1.36166,100
HIT100311774.pdbqt,1.3615,100
HIT107305165.pdbqt,1.36081,100
HIT105822437.pdbqt,1.35688,100
HIT103199636.pdbqt,1.35647,100
HIT104511108.pdbqt,1.35538,100
HIT105312175.pdbqt,1.35324,100
HIT211723778.pdbqt,1.35181,100
HIT103602116.pdbqt,1.35178,100
HIT107557962.pdbqt,1.35092,100
HIT102512859.pdbqt,1.35028,100
HIT104495657.pdbqt,1.35006,100
HIT107473055.pdbqt,1.34938,100
HIT103184625.pdbqt,1.34839,100
HIT106548086.pdbqt,1.34548,100
HIT211483356.pdbqt,1.34334,100
HIT103550314.pdbqt,1.34321,100
HIT211506357.pdbqt,1.34187,100
HIT102188127.pdbqt,1.34168,100
HIT103508955.pdbqt,1.33984,100
HIT106386121.pdbqt,1.33946,100
HIT106106114.pdbqt,1.33783,100
HIT211513449.pdbqt,1.33718,100
HIT101984908.pdbqt,1.3334,100
HIT104643386.pdbqt,1.32984,100
HIT103576717.pdbqt,1.32807,100
HIT101379705.pdbqt,1.32725,100
HIT104271088.pdbqt,1.32639,100
HIT103958063.pdbqt,1.32549,100
HIT100234320.pdbqt,1.32133,7.45394
HIT107129931.pdbqt,1.32086,100
HIT100553404.pdbqt,1.32054,100
HIT105647316.pdbqt,1.31999,100
HIT103146979.pdbqt,1.31961,100
HIT211702228.pdbqt,1.31918,100
HIT101864517.pdbqt,1.31772,100
HIT105586180.pdbqt,1.31753,100
HIT211464476.pdbqt,1.31736,6.79942
HIT104617360.pdbqt,1.31505,100
HIT211522373.pdbqt,1.31333,100
HIT102627695.pdbqt,1.31253,100
HIT105074765.pdbqt,1.3116,100
HIT101252317.pdbqt,1.3111,4.66166
HIT105440674.pdbqt,1.30989,100
HIT104541943.pdbqt,1.30969,6.19897
HIT101078181.pdbqt,1.30771,100
HIT106302981.pdbqt,1.30634,100
HIT100487674.pdbqt,1.30485,100
HIT103931741.pdbqt,1.30462,100
HIT103060125.pdbqt,1.30459,100
HIT105020847.pdbqt,1.30395,100
HIT103163853.pdbqt,1.30063,100
HIT107620975.pdbqt,1.29964,100
HIT100705408.pdbqt,1.29378,7.86136
HIT101171313.pdbqt,1.29327,100
HIT105802434.pdbqt,1.29314,100
HIT102749725.pdbqt,1.29299,100
HIT211523003.pdbqt,1.29244,100
HIT102006256.pdbqt,1.29241,100
HIT107572887.pdbqt,1.29229,100
HIT102230283.pdbqt,1.29196,100
HIT101409937.pdbqt,1.29079,100
HIT105546179.pdbqt,1.29013,100
HIT104078779.pdbqt,1.28942,100
HIT104902188.pdbqt,1.28901,100
HIT106899514.pdbqt,1.28889,100
HIT103944035.pdbqt,1.28612,100
HIT107703543.pdbqt,1.28559,100
HIT105086418.pdbqt,1.28553,100
HIT101897745.pdbqt,1.28442,6.6526
HIT101701905.pdbqt,1.28355,100
HIT100338467.pdbqt,1.28212,100
HIT101477745.pdbqt,1.28181,100
HIT100216127.pdbqt,1.28097,100
HIT103459959.pdbqt,1.27858,100
HIT100459637.pdbqt,1.27175,100
HIT107187398.pdbqt,1.27113,100
HIT102449093.pdbqt,1.26679,100
HIT101490561.pdbqt,1.26667,100
HIT100321032.pdbqt,1.26599,100
HIT104689856.pdbqt,1.2649,100
HIT106940736.pdbqt,1.26318,100
HIT101750366.pdbqt,1.26318,100
HIT100457068.pdbqt,1.26301,100
HIT107700165.pdbqt,1.26297,100
HIT103510246.pdbqt,1.2627,6.49284
HIT102636455.pdbqt,1.26172,100
HIT106079888.pdbqt,1.26069,7.63892
HIT105649726.pdbqt,1.26066,100
HIT101766885.pdbqt,1.2591,100
HIT211449780.pdbqt,1.25871,100
HIT102275160.pdbqt,1.25715,100
HIT102040760.pdbqt,1.25594,100
HIT107002464.pdbqt,1.25546,100
HIT102502221.pdbqt,1.25432,100
HIT102767350.pdbqt,1.25322,100
HIT102986680.pdbqt,1.25272,100
HIT107073992.pdbqt,1.25169,100
HIT104302297.pdbqt,1.25114,100
HIT102804182.pdbqt,1.25037,100
HIT102463854.pdbqt,1.24954,100
HIT101095765.pdbqt,1.24936,100
HIT102045460.pdbqt,1.24919,100
HIT211347529.pdbqt,1.2464,6.37455
HIT105998159.pdbqt,1.24629,100
HIT106104833.pdbqt,1.24522,100
HIT106531602.pdbqt,1.24389,100
HIT105495738.pdbqt,1.24311,100
HIT105070265.pdbqt,1.24229,100
HIT101268304.pdbqt,1.24094,100
HIT101057657.pdbqt,1.24028,100
HIT100215754.pdbqt,1.23935,100
HIT105535744.pdbqt,1.23899,100
HIT107150972.pdbqt,1.23897,100
HIT106895216.pdbqt,1.23858,100
HIT100450327.pdbqt,1.23829,7.24401
HIT105066958.pdbqt,1.23545,100
HIT102644230.pdbqt,1.23536,100
HIT102293534.pdbqt,1.23379,100
HIT102269543.pdbqt,1.23123,100
HIT211734567.pdbqt,1.2283,100
HIT100124756.pdbqt,1.22782,7.11887
HIT104210325.pdbqt,1.22763,100
HIT107309242.pdbqt,1.22604,100
HIT101372903.pdbqt,1.22569,100
HIT101604669.pdbqt,1.22466,100
HIT102796685.pdbqt,1.22393,100
HIT106888592.pdbqt,1.22344,100
HIT106021282.pdbqt,1.22275,100
HIT104167517.pdbqt,1.22264,100
HIT104260566.pdbqt,1.22113,100
HIT103422084.pdbqt,1.22054,100
HIT211342531.pdbqt,1.2204,100
HIT101870461.pdbqt,1.22015,6.19274
HIT100623838.pdbqt,1.21994,100
HIT100637365.pdbqt,1.2175,100
HIT101067972.pdbqt,1.21709,100
HIT107046528.pdbqt,1.21682,100
HIT101761779.pdbqt,1.21535,100
HIT103283209.pdbqt,1.2145,100
HIT106180556.pdbqt,1.21414,100
HIT101353467.pdbqt,1.21309,100
HIT105094346.pdbqt,1.21138,100
HIT104010948.pdbqt,1.21125,100
HIT104836936.pdbqt,1.21117,100
HIT107131055.pdbqt,1.21079,100
HIT105688616.pdbqt,1.20884,100
HIT102172929.pdbqt,1.2082,100
HIT105779809.pdbqt,1.2077,100
HIT211347328.pdbqt,1.20657,100
HIT103826641.pdbqt,1.20595,100
HIT104068011.pdbqt,1.20564,5.87625
HIT102205320.pdbqt,1.20448,100
HIT101617799.pdbqt,1.2041,7.01106
HIT103454568.pdbqt,1.20385,100
HIT211736334.pdbqt,1.2036,100
HIT104937798.pdbqt,1.20333,100
HIT106337560.pdbqt,1.20012,100
HIT100351399.pdbqt,1.19951,100
HIT101512109.pdbqt,1.19855,100
HIT211732655.pdbqt,1.19748,100
HIT104255599.pdbqt,1.19685,100
HIT102325708.pdbqt,1.19629,100
HIT105078327.pdbqt,1.19438,100
HIT106132925.pdbqt,1.1943,100
HIT106473524.pdbqt,1.19367,100
HIT106136840.pdbqt,1.19309,100
HIT102981527.pdbqt,1.19098,100
HIT106939176.pdbqt,1.19061,100
HIT100499370.pdbqt,1.1905,100
HIT101007166.pdbqt,1.18971,100
HIT103070453.pdbqt,1.18755,100
HIT100912279.pdbqt,1.18664,2.59576
HIT103234774.pdbqt,1.18649,100
HIT100133063.pdbqt,1.18517,100
HIT101143150.pdbqt,1.18479,100
HIT106531617.pdbqt,1.18473,100
HIT103410113.pdbqt,1.18426,100
HIT103826638.pdbqt,1.18325,100
HIT106439310.pdbqt,1.18262,100
HIT106279106.pdbqt,1.18144,100
HIT106980123.pdbqt,1.18029,100
HIT103536056.pdbqt,1.17849,7.15509
HIT107533215.pdbqt,1.17848,100
HIT107178118.pdbqt,1.17843,100
HIT101259000.pdbqt,1.17823,100
HIT102827502.pdbqt,1.17766,100
HIT101954877.pdbqt,1.17746,100
HIT107109762.pdbqt,1.17729,100
HIT105032075.pdbqt,1.17662,100
HIT104999756.pdbqt,1.17571,100
HIT106386893.pdbqt,1.17536,100
HIT102749496.pdbqt,1.173,100
HIT100717182.pdbqt,1.17276,6.11367
HIT211521918.pdbqt,1.17125,7.09571
HIT101074466.pdbqt,1.17074,100
HIT103164792.pdbqt,1.17054,100
HIT105742016.pdbqt,1.16852,100
HIT102380579.pdbqt,1.16609,100
HIT103339775.pdbqt,1.16591,100
HIT106263092.pdbqt,1.16582,100
HIT103507202.pdbqt,1.16535,100
HIT105891944.pdbqt,1.1648,100
HIT102330781.pdbqt,1.16459,100
HIT101151347.pdbqt,1.16398,100
HIT104733518.pdbqt,1.16361,100
HIT103871891.pdbqt,1.16316,100
HIT106378835.pdbqt,1.16293,100
HIT106785504.pdbqt,1.16233,100
HIT100168175.pdbqt,1.16222,100
HIT103734196.pdbqt,1.16199,7.42127
