standardized_smiles,rmsd,title_vina,Original_SMILES_vina,score_vina,title_glide,Original_SMILES_glide,score_glide,PharmFit_score
CC(C)Cn1cnnc1C1CN(C(=O)c2ccc3ccccc3n2)CC12CCC2,2.125876447005101,HIT211744438.pdbqt,CC(C)Cn1cnnc1C1CN(C(=O)c2ccc3ccccc3n2)CC12CCC2,-8.0,ligprep_chemdiv-stock1_04_414266_split-10_0.sdf:14063,CC(C)Cn1cnnc1[C@H]1CN(C(=O)c2ccc3ccccc3n2)CC12CCC2,-5.95766,2.36133
CC(C)Oc1ccc(C2CC(=O)Nc3nc(SCc4ccccc4)[nH]c(=O)c32)cc1,0.9707036356856475,HIT106637810.pdbqt,CC(C)Oc1ccc(C2CC(=O)Nc3nc(SCc4ccccc4)[nH]c(=O)c32)cc1,-8.3,ligprep_chemdiv-stock1_02_400000_split-10_0.sdf:12887,CC(C)Oc1ccc([C@H]2CC(=O)Nc3nc(SCc4ccccc4)[nH]c(=O)c32)cc1,-6.07028,2.34889
COc1ccc(C2=CC(c3cccc4ccccc34)n3ncnc3N2)cc1,0.4827358517787909,HIT103325322.pdbqt,COc1ccc(C2=CC(c3cccc4ccccc34)n3ncnc3N2)cc1,-8.1,ligprep_chemdiv-stock1_04_414266_split-10_8.sdf:19137,COc1ccc(C2=C[C@H](c3cccc4ccccc34)n3ncnc3N2)cc1,-7.27578,2.3197
O=C(COc1cccc2ccccc12)Nn1ccc2c(cnc3ccnn32)c1=O,1.4881279204376914,HIT102114702.pdbqt,O=C(COc1cccc2ccccc12)Nn1ccc2c(cnc3ccnn32)c1=O,-8.3,ligprep_chemdiv-stock1_04_414266_split-10_4.sdf:7955,O=C(COc1cccc2ccccc12)Nn1ccc2c(cnc3ccnn32)c1=O,-6.45339,2.31413
Cc1ccc(NC(=O)C2CC(=O)Nc3nc(SCc4ccccc4F)[nH]c(=O)c32)cc1Cl,1.9073736340843133,HIT106711308.pdbqt,Cc1ccc(NC(=O)C2CC(=O)Nc3nc(SCc4ccccc4F)[nH]c(=O)c32)cc1Cl,-8.4,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:3146,Cc1ccc(NC(=O)[C@H]2CC(=O)Nc3nc(SCc4ccccc4F)[nH]c(=O)c32)cc1Cl,-6.69233,2.31143
Cc1csc(NC(=O)CSc2nnc(-c3cc4ccccc4o3)n2-c2ccccc2)n1,1.0764027594934706,HIT104101215.pdbqt,Cc1csc(NC(=O)CSc2nnc(-c3cc4ccccc4o3)n2-c2ccccc2)n1,-7.8,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:9430,Cc1csc(NC(=O)CSc2nnc(-c3cc4ccccc4o3)n2-c2ccccc2)n1,-6.10486,2.295
CC1(C(=O)NCCc2cccnc2)COCc2nnc(C3CCCC3)n21,0.6912463768162097,HIT102062362.pdbqt,CC1(C(=O)NCCc2cccnc2)COCc2nnc(C3CCCC3)n21,-8.0,ligprep_chemdiv-stock1_03_400000_split-10_9.sdf:10470,C[C@@]1(C(=O)NCCc2cccnc2)COCc2nnc(C3CCCC3)n21,-6.04321,2.27095
O=C1CC(C(=O)Nc2cc(F)ccc2F)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,2.0822191702371837,HIT104442900.pdbqt,O=C1CC(C(=O)Nc2cc(F)ccc2F)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,-8.4,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:3230,O=C1C[C@H](C(=O)Nc2cc(F)ccc2F)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,-6.68353,2.24776
O=C1CC(C(=O)Nc2cc(F)ccc2F)c2c(nc(SCc3cccc(Cl)c3)[nH]c2=O)N1,1.6034449804444488,HIT105945322.pdbqt,O=C1CC(C(=O)Nc2cc(F)ccc2F)c2c(nc(SCc3cccc(Cl)c3)[nH]c2=O)N1,-8.1,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:3238,O=C1C[C@H](C(=O)Nc2cc(F)ccc2F)c2c(nc(SCc3cccc(Cl)c3)[nH]c2=O)N1,-6.98576,2.24107
COc1cccc(NC(=O)C2CC(=O)Nc3nc(SCc4ccccc4)[nH]c(=O)c32)c1,2.18544496834796,HIT104689529.pdbqt,COc1cccc(NC(=O)C2CC(=O)Nc3nc(SCc4ccccc4)[nH]c(=O)c32)c1,-8.3,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:3036,COc1cccc(NC(=O)[C@H]2CC(=O)Nc3nc(SCc4ccccc4)[nH]c(=O)c32)c1,-6.64269,2.23079
