standardized_smiles,rmsd,title_vina,Original_SMILES_vina,score_vina,title_glide,Original_SMILES_glide,score_glide,PharmFit_score,Total_RSA,Side_chain_RSA,PAINS,clogP
O=C1CC(c2cccc(Cl)c2)c2cc3c(cc2N1)OCCO3,1.072623548086229,HIT100219217.pdbqt,O=C1CC(c2cccc(Cl)c2)c2cc3c(cc2N1)OCCO3,-7.9,ligprep_chemdiv-stock1_01_400000_split-10_7.sdf:17429,O=C1C[C@H](c2cccc(Cl)c2)c2cc3c(cc2N1)OCCO3,-6.05093,1.59798,0.3010505560682811,0.0388829297293649,False,3.585300000000002
Cc1ccc(C)c(-n2cc3c(c2-c2ccccc2Cl)c(=O)n(C)c(=O)n3C)c1,0.3858287305083877,HIT100086251.pdbqt,Cc1ccc(C)c(-n2cc3c(c2-c2ccccc2Cl)c(=O)n(C)c(=O)n3C)c1,-7.8,ligprep_chemdiv-stock1_01_400000_split-10_9.sdf:33533,Cc1ccc(C)c(-n2cc3c(c2-c2ccccc2Cl)c(=O)n(C)c(=O)n3C)c1,-6.1289,0.742032,0.3158686320453299,0.0447581494292908,False,3.965140000000003
COc1ccc(C2CC(C(F)(F)F)n3nc(C(=O)Nc4cc(C)ccc4O)cc3N2)cc1,1.0057190249704424,HIT107415604.pdbqt,COc1ccc(C2CC(C(F)(F)F)n3nc(C(=O)Nc4cc(C)ccc4O)cc3N2)cc1,-8.0,ligprep_chemdiv-stock1_01_400000_split-10_1.sdf:10487,COc1ccc([C@@H]2C[C@@H](C(F)(F)F)n3nc(C(=O)Nc4cc(C)ccc4O)cc3N2)cc1,-7.02922,1.47781,0.3284816478364655,0.0479661546039006,False,4.818320000000004
CCc1ccc(-c2nn(C)c(=O)c3c2CCCC3)cc1S(=O)(=O)Nc1cccc(C(C)=O)c1,1.437817596746943,HIT100534073.pdbqt,CCc1ccc(-c2nn(C)c(=O)c3c2CCCC3)cc1S(=O)(=O)Nc1cccc(C(C)=O)c1,-7.9,ligprep_chemdiv-stock1_02_400000_split-10_1.sdf:27758,CCc1ccc(-c2nn(C)c(=O)c3c2CCCC3)cc1S(=O)(=O)Nc1cccc(C(C)=O)c1,-6.2834,1.50369,0.3157335498905256,0.0411249523948708,False,3.8919000000000015
Cc1cccc(C(=O)N2C3CCC2c2cnc(-c4ccccc4)nc2C3)c1,0.6759553146528314,HIT211723778.pdbqt,Cc1cccc(C(=O)N2[C@H]3CC[C@@H]2c2cnc(-c4ccccc4)nc2C3)c1,-8.1,ligprep_chemdiv-stock1_03_400000_split-10_8.sdf:6722,Cc1cccc(C(=O)N2[C@H]3CC[C@@H]2c2cnc(-c4ccccc4)nc2C3)c1,-6.0829,1.35181,0.3133498105870689,0.0410105896904087,False,4.354020000000004
Cc1ccc(-n2c(=O)c3sc4ccccc4c3n(CC(=O)Nc3ccc(F)cc3F)c2=O)cc1F,2.231224577414192,HIT101327148.pdbqt,Cc1ccc(-n2c(=O)c3sc4ccccc4c3n(CC(=O)Nc3ccc(F)cc3F)c2=O)cc1F,-7.7,ligprep_chemdiv-stock1_01_400000_split-10_8.sdf:36401,Cc1ccc(-n2c(=O)c3sc4ccccc4c3n(CC(=O)Nc3ccc(F)cc3F)c2=O)cc1F,-6.0083,2.20051,0.3259691790716521,0.0478269412841417,False,4.731520000000002
O=C(NCc1ccc(F)cc1)C1CCN(c2ncnc3c2oc2ccccc23)CC1,1.3896561693454963,HIT100622090.pdbqt,O=C(NCc1ccc(F)cc1)C1CCN(c2ncnc3c2oc2ccccc23)CC1,-8.1,ligprep_chemdiv-stock1_03_400000_split-10_5.sdf:25008,O=C(NCc1ccc(F)cc1)C1CCN(c2ncnc3c2oc2ccccc23)CC1,-5.9139,1.72238,0.3118244469320411,0.0382914073098856,False,4.047900000000003
CCCc1nc2c3ccccc3n(CC(=O)N3CCN(c4ccccc4OC)CC3)c(=O)n2n1,1.7578796834455388,HIT104844210.pdbqt,CCCc1nc2c3ccccc3n(CC(=O)N3CCN(c4ccccc4OC)CC3)c(=O)n2n1,-7.9,ligprep_chemdiv-stock1_02_400000_split-10_9.sdf:18901,CCCc1nc2c3ccccc3n(CC(=O)N3CCN(c4ccccc4OC)CC3)c(=O)n2n1,-6.51185,1.68642,0.3289081747918499,0.0477738469509677,False,2.3541
Cc1cccc(C(=O)N(C)CCc2noc(-c3ccc(C(=O)N(C)Cc4ccco4)cc3)n2)c1,2.024456914248129,HIT102644230.pdbqt,Cc1cccc(C(=O)N(C)CCc2noc(-c3ccc(C(=O)N(C)Cc4ccco4)cc3)n2)c1,-7.9,ligprep_chemdiv-stock1_03_400000_split-10_3.sdf:36176,Cc1cccc(C(=O)N(C)CCc2noc(-c3ccc(C(=O)N(C)Cc4ccco4)cc3)n2)c1,-6.04878,1.23536,0.3148430088552271,0.0382914073098856,False,4.224920000000004
Cc1ccc(C(=O)N2CCC(F)(c3noc(-c4ccccc4)n3)C2)cn1,2.368996381462965,HIT104390031.pdbqt,Cc1ccc(C(=O)N2CCC(F)(c3noc(-c4ccccc4)n3)C2)cn1,-7.7,ligprep_chemdiv-stock1_04_414266_split-10_0.sdf:1505,Cc1ccc(C(=O)N2CC[C@](F)(c3noc(-c4ccccc4)n3)C2)cn1,-6.17534,1.38145,0.3173995652498947,0.0426001008545435,False,3.150920000000001
